image,timestamp,top_tokens,top_probs
bicycle6-dog2,2024-02-08 11:09:59,"['C', 'A', 'B', 'D', 'E', 'F', 'G', 'P', 'H', 'J', 'K', 'M', 'L', 'I', 'N', 'R']","[0.9940343499183655, 0.0029721090104430914, 0.0019189376616850495, 0.0009064420009963214, 2.1994163034833036e-05, 2.0661602320615202e-05, 1.7129070329247043e-05, 1.3763594324700534e-05, 1.1410420484025963e-05, 1.0228234714304563e-05, 9.91354500001762e-06, 9.168530596070923e-06, 7.367121270362986e-06, 6.501461484731408e-06, 6.501461484731408e-06, 4.399109002406476e-06]"
elephant7-bottle3,2024-02-08 11:09:59,"['F', 'L', 'D', 'B', 'A', 'C', 'G', 'E', 'M', 'H', 'P', 'J', 'N', 'K', 'I', 'O']","[0.8555841445922852, 0.05914011597633362, 0.04980096593499184, 0.018320752307772636, 0.008519941009581089, 0.004284095484763384, 0.0017858766950666904, 0.0007801917381584644, 0.00043086279765702784, 0.0003408404882065952, 0.00022704873117618263, 0.00022352866653818637, 0.00012538822193164378, 0.00011596515105338767, 8.753508154768497e-05, 4.0707596781430766e-05]"
dog7-chair2,2024-02-08 11:09:59,"['I', 'A', 'C', 'D', 'E', 'B', 'J', 'H', 'G', 'L', 'M', 'N', 'K', 'F', 'P', 'O']","[0.9470760822296143, 0.021927783265709877, 0.014380590058863163, 0.00412010820582509, 0.0037514010909944773, 0.002422086428850889, 0.0015884432941675186, 0.000978611409664154, 0.0007621434051543474, 0.0005843555554747581, 0.0005489513278007507, 0.00048444780986756086, 0.0002892769989557564, 0.00022528914269059896, 0.00019573461031541228, 0.00018677127081900835]"
boat6-knife2,2024-02-08 11:10:00,"['F', 'D', 'B', 'A', 'C', 'G', 'E', 'P', 'N', 'H', 'J', 'M', 'K', 'L', 'I', 'O']","[0.7573407292366028, 0.09332268685102463, 0.07982312142848969, 0.029827721416950226, 0.029365286231040955, 0.002410449553281069, 0.0022293012589216232, 0.0016827649669721723, 0.0008730069384910166, 0.0007237482350319624, 0.0005463137640617788, 0.0005052576889283955, 0.0003161821514368057, 0.0001829921966418624, 0.00017736211884766817, 0.0001719052525004372]"
truck10-elephant3,2024-02-08 11:10:00,"['P', 'C', 'G', 'A', 'B', 'D', 'F', 'E', 'M', 'K', 'N', 'L', 'H', 'O', 'R', 'J']","[0.9751772284507751, 0.014129209332168102, 0.0027822060510516167, 0.002739072311669588, 0.002342852531000972, 0.001377291977405548, 0.0006016942788846791, 0.00015213213919196278, 0.00014291491243056953, 9.084225166589022e-05, 8.016800711629912e-05, 6.341811240417883e-05, 5.684762800228782e-05, 4.9390077037969604e-05, 4.787050420418382e-05, 3.090752215939574e-05]"
dog9-bottle1,2024-02-08 11:10:00,"['B', 'F', 'C', 'K', 'D', 'A', 'G', 'H', 'J', 'P', 'E', 'M', 'L', 'N', 'I', 'O']","[0.4495765268802643, 0.36124488711357117, 0.08447292447090149, 0.04247565567493439, 0.026580585166811943, 0.01826855167746544, 0.011795062571763992, 0.0021147385705262423, 0.0009095376008190215, 0.0008815541514195502, 0.0004099607467651367, 0.00035065802512690425, 0.00026058690855279565, 0.00016563911049161106, 7.179923704825342e-05, 6.486519851023331e-05]"
bicycle5-oven3,2024-02-08 11:10:00,"['O', 'M', 'P', 'A', 'N', 'B', 'C', 'D', 'E', 'K', 'G', 'J', 'I', 'H', 'L', 'F']","[0.44428005814552307, 0.26117876172065735, 0.15841294825077057, 0.08748392015695572, 0.021106479689478874, 0.006852271035313606, 0.00595335615798831, 0.0038437754847109318, 0.002190117258578539, 0.0020255274139344692, 0.001228544395416975, 0.0010184991406276822, 0.0009419577545486391, 0.000667948042973876, 0.0006274791085161269, 0.0005894620553590357]"
bird10-chair1,2024-02-08 11:10:01,"['I', 'A', 'C', 'E', 'D', 'B', 'G', 'J', 'H', 'L', 'M', 'N', 'F', 'K', 'O', 'P']","[0.8947731852531433, 0.05127459019422531, 0.0179990716278553, 0.009634210728108883, 0.00850216019898653, 0.004695339128375053, 0.00338192586787045, 0.0032778747845441103, 0.0018102143658325076, 0.0009841964347288013, 0.0007664929726161063, 0.0006063458858989179, 0.0005785792600363493, 0.0005435249186120927, 0.0002819770306814462, 0.00026489290758036077]"
bird8-clock1,2024-02-08 11:10:01,"['J', 'D', 'A', 'B', 'C', 'G', 'M', 'H', 'I', 'K', 'L', 'N', 'F', 'E', 'Q', 'P']","[0.9602862000465393, 0.022583767771720886, 0.007804741617292166, 0.005118473898619413, 0.001489560934714973, 0.0007607932784594595, 0.000583320390433073, 0.00032721308525651693, 0.00021126464707776904, 0.0001645330776227638, 0.00011850873124785721, 9.672400483395904e-05, 9.229469287674874e-05, 8.670284296385944e-05, 4.2255589505657554e-05, 4.032056676805951e-05]"
cat7-elephant1,2024-02-08 11:10:01,"['H', 'B', 'A', 'G', 'D', 'C', 'F', 'E', 'K', 'L', 'J', 'M', 'N', 'P', 'I', 'T']","[0.9880732893943787, 0.003853114787489176, 0.0029542858246713877, 0.0019679786637425423, 0.001270622480660677, 0.0009742201073095202, 0.0002350415161345154, 0.00012193793372716755, 0.00010268203186569735, 8.122817234834656e-05, 7.872904097894207e-05, 5.004322883905843e-05, 3.604478479246609e-05, 2.896279693231918e-05, 2.3638745915377513e-05, 2.220654823759105e-05]"
cat7-clock3,2024-02-08 11:10:01,"['J', 'D', 'B', 'A', 'C', 'G', 'H', 'M', 'K', 'F', 'I', 'L', 'E', 'N', 'Q', 'P']","[0.8996036648750305, 0.049965325742959976, 0.027165677398443222, 0.014093367382884026, 0.004720686934888363, 0.0016314256936311722, 0.000959065742790699, 0.0003814899828284979, 0.00037557550240308046, 0.0001979143708012998, 0.0001746588241076097, 0.00015656316827517003, 0.00013602443505078554, 0.00010108478454640135, 5.759637133451179e-05, 4.7749068471603096e-05]"
bottle3-bear2,2024-02-08 11:10:02,"['F', 'B', 'D', 'A', 'C', 'E', 'P', 'G', 'H', 'M', 'N', 'J', 'L', 'K', 'I', 'R']","[0.9840929508209229, 0.0066307662054896355, 0.004085096530616283, 0.0026790713891386986, 0.0016765203326940536, 0.0003101250622421503, 0.00011408863792894408, 8.217495633289218e-05, 7.841188926249743e-05, 3.942797411582433e-05, 2.4673396183061413e-05, 2.2465384972747415e-05, 2.0137840692768805e-05, 1.8335711502004415e-05, 1.4504740647680592e-05, 1.2800389413314406e-05]"
bottle6-bottle3,2024-02-08 11:10:02,"['F', 'B', 'D', 'A', 'C', 'E', 'G', 'P', 'H', 'M', 'N', 'J', 'L', 'I', 'K', 'W']","[0.9849448800086975, 0.0068471720442175865, 0.0034971931017935276, 0.002441434422507882, 0.0015278105856850743, 0.00027392132324166596, 0.00010077001934405416, 8.354127930942923e-05, 7.258192636072636e-05, 3.375373125891201e-05, 1.9535160390660167e-05, 1.835158582252916e-05, 1.7511207261122763e-05, 1.6195217540371232e-05, 1.5213997357932385e-05, 1.1130799066449981e-05]"
elephant1-car3,2024-02-08 11:10:02,"['G', 'C', 'A', 'B', 'P', 'D', 'F', 'K', 'H', 'L', 'N', 'M', 'E', 'J', 'O', 'I']","[0.9450173377990723, 0.013065214268863201, 0.01171158254146576, 0.010831443592905998, 0.006367476657032967, 0.00511641101911664, 0.0027386178262531757, 0.0009464409667998552, 0.0008753147558309138, 0.0007144110859371722, 0.0007144110859371722, 0.0005563839222304523, 0.0005226742941886187, 0.000246893847361207, 0.00014514141366817057, 7.298168202396482e-05]"
truck5-cat3,2024-02-08 11:10:02,"['P', 'C', 'B', 'A', 'D', 'G', 'F', 'E', 'M', 'K', 'N', 'O', 'R', 'H', 'L', 'J']","[0.975500762462616, 0.010668824426829815, 0.005199569743126631, 0.004113198723644018, 0.002068246016278863, 0.0010079826461151242, 0.0005229344824329019, 0.00018072132661473006, 0.00012815061199944466, 8.40432257973589e-05, 7.895129965618253e-05, 7.533585448982194e-05, 6.443817255785689e-05, 5.598485586233437e-05, 5.0974791520275176e-05, 3.908372309524566e-05]"
chair8-elephant1,2024-02-08 11:10:03,"['I', 'A', 'C', 'L', 'D', 'E', 'B', 'N', 'J', 'M', 'H', 'G', 'K', 'O', 'P', 'F']","[0.9273685812950134, 0.029348047450184822, 0.01242674607783556, 0.009091601707041264, 0.00644691102206707, 0.004162438679486513, 0.003141973400488496, 0.0014161983272060752, 0.0012894633691757917, 0.001192558673210442, 0.00117406970821321, 0.000958247750531882, 0.00041213721851818264, 0.00035807103267870843, 0.0003260273952037096, 0.0002968513290397823]"
car5-truck3,2024-02-08 11:10:03,"['G', 'C', 'P', 'A', 'B', 'D', 'F', 'H', 'K', 'N', 'E', 'L', 'M', 'J', 'O', 'W']","[0.974270224571228, 0.009551409631967545, 0.0043051578104496, 0.003569100983440876, 0.0033528597559779882, 0.0018807840533554554, 0.0013976800255477428, 0.00028395591652952135, 0.00027955358382314444, 0.00021101810852997005, 0.0002013548946706578, 0.00018622282368596643, 0.00017222795577254146, 7.885170634835958e-05, 5.171221346245147e-05, 3.5541252145776525e-05]"
truck4-airplane3,2024-02-08 11:10:03,"['G', 'A', 'C', 'B', 'P', 'D', 'F', 'M', 'K', 'N', 'H', 'L', 'E', 'J', 'O', 'I']","[0.9368016123771667, 0.01689210720360279, 0.012750833295285702, 0.010245581157505512, 0.009328708052635193, 0.004618045408278704, 0.003173933131620288, 0.0011317007010802627, 0.001114155282266438, 0.0010144499829038978, 0.0008024959824979305, 0.0006757693481631577, 0.0005780161591246724, 0.0002773352025542408, 0.0002029027382377535, 8.198012801585719e-05]"
keyboard8-keyboard2,2024-02-08 11:10:03,"['M', 'A', 'B', 'D', 'C', 'P', 'G', 'L', 'N', 'K', 'J', 'H', 'E', 'The', 'W', 'F']","[0.9931331276893616, 0.0032612632494419813, 0.0014699666062369943, 0.0008915798389352858, 0.0004698295670095831, 0.0001928176498040557, 6.875125109218061e-05, 6.067276626708917e-05, 5.271341433399357e-05, 4.7252000513253734e-05, 4.579820597427897e-05, 4.302343222661875e-05, 3.7968049582559615e-05, 2.413396032352466e-05, 2.129814492946025e-05, 2.0967947421013378e-05]"
airplane1-bicycle2,2024-02-08 11:10:04,"['C', 'A', 'B', 'D', 'E', 'G', 'F', 'J', 'H', 'M', 'K', 'I', 'N', 'P', 'L', 'O']","[0.872535228729248, 0.09196453541517258, 0.019580380991101265, 0.014550902880728245, 0.0003214713360648602, 0.0002836974454112351, 0.00019805273041129112, 8.002054528333247e-05, 7.172994810389355e-05, 5.854427217855118e-05, 5.7636629207991064e-05, 5.49972610315308e-05, 4.48874561698176e-05, 3.258479409851134e-05, 3.182997170370072e-05, 1.8858634575735778e-05]"
chair8-clock3,2024-02-08 11:10:04,"['J', 'I', 'D', 'A', 'B', 'C', 'H', 'G', 'M', 'N', 'E', 'L', 'F', 'K', 'P', 'Q']","[0.7589561939239502, 0.16413579881191254, 0.030840201303362846, 0.027216384187340736, 0.005978646222501993, 0.004173767752945423, 0.002780328504741192, 0.0017672842368483543, 0.0016602100804448128, 0.0004907571128569543, 0.0003762765263672918, 0.00035347911762073636, 0.0003320628893561661, 0.0003023466852027923, 0.00010286828910466284, 7.409324462059885e-05]"
bear9-boat2,2024-02-08 11:10:04,"['B', 'C', 'A', 'D', 'G', 'F', 'M', 'P', 'E', 'H', 'L', 'K', 'J', 'N', 'R', 'I']","[0.923360288143158, 0.03524749353528023, 0.024606717750430107, 0.012567882426083088, 0.001031634514220059, 0.000910414382815361, 0.0005352049483917654, 0.00045068777399137616, 0.0004103558894712478, 0.00023381371283903718, 0.0001632282801438123, 0.00015820626867935061, 7.473135337932035e-05, 3.5025881516048685e-05, 3.1152660085354e-05, 2.8364824174786918e-05]"
bear2-airplane1,2024-02-08 11:10:04,"['B', 'A', 'D', 'C', 'F', 'E', 'G', 'H', 'M', 'K', 'J', 'P', 'L', 'N', 'I', 'R']","[0.7580127716064453, 0.1075090691447258, 0.08912814408540726, 0.043437592685222626, 0.0007243904983624816, 0.00030197080923244357, 0.00026648835046216846, 0.0001542316167615354, 8.584282477386296e-05, 6.087167639634572e-05, 5.542429062188603e-05, 3.869239299092442e-05, 2.943561958090868e-05, 2.557410698500462e-05, 2.2746084141544998e-05, 1.9005065041710623e-05]"
bicycle10-boat3,2024-02-08 11:10:05,"['C', 'A', 'B', 'D', 'E', 'G', 'F', 'P', 'M', 'J', 'H', 'K', 'L', 'I', 'N', 'R']","[0.9951305389404297, 0.0027091200463473797, 0.0011835269397124648, 0.0008008143631741405, 2.343848427699413e-05, 2.0047995349159464e-05, 1.912993138830643e-05, 1.3354844668356236e-05, 1.3147797290002927e-05, 1.1602890481299255e-05, 1.1245906534895767e-05, 1.023951426759595e-05, 7.609361091454048e-06, 7.14833277015714e-06, 6.8209869823476765e-06, 4.268464635970304e-06]"
bicycle9-knife3,2024-02-08 11:10:05,"['C', 'A', 'D', 'B', 'N', 'M', 'E', 'G', 'F', 'P', 'K', 'H', 'J', 'I', 'L', 'O']","[0.9859164357185364, 0.007766516413539648, 0.0022251440677791834, 0.0018161095213145018, 0.001577863353304565, 0.00012553403212223202, 8.627819624962285e-05, 7.97942848294042e-05, 6.825166929047555e-05, 6.0231883253436536e-05, 5.151906225364655e-05, 4.0754930523689836e-05, 3.8285717891994864e-05, 2.6727739168563858e-05, 2.3958587917149998e-05, 1.5959860320435837e-05]"
dog4-clock1,2024-02-08 11:10:05,"['J', 'B', 'D', 'A', 'K', 'C', 'G', 'H', 'M', 'F', 'L', 'I', 'E', 'N', 'Q', 'P']","[0.9171125888824463, 0.031876061111688614, 0.02225307747721672, 0.013497172854840755, 0.005805061664432287, 0.0049653323367238045, 0.0020377684850245714, 0.0008494682260788977, 0.0005072406493127346, 0.0001780582097126171, 0.0001699043350527063, 0.00013867186498828232, 9.988161036744714e-05, 9.988161036744714e-05, 9.833309013629332e-05, 5.1014532800763845e-05]"
elephant2-elephant3,2024-02-08 11:10:05,"['L', 'D', 'A', 'C', 'M', 'B', 'G', 'I', 'E', 'J', 'P', 'H', 'K', 'N', 'R', 'F']","[0.9974029660224915, 0.0008815310429781675, 0.0005964736919850111, 0.0002906980807892978, 0.00017089257016777992, 0.00015081216406542808, 8.072393393376842e-05, 6.093362389947288e-05, 5.1311260904185474e-05, 4.7455156163778156e-05, 4.599511157721281e-05, 4.457999239093624e-05, 4.320840889704414e-05, 3.063935218960978e-05, 2.8783008019672707e-05, 1.640006303205155e-05]"
clock8-oven3,2024-02-08 11:10:06,"['M', 'J', 'A', 'D', 'B', 'C', 'G', 'K', 'N', 'L', 'I', 'H', 'P', 'Q', 'F', 'E']","[0.5020286440849304, 0.4500155746936798, 0.017448998987674713, 0.01564118079841137, 0.007864879444241524, 0.0019885527435690165, 0.001115477061830461, 0.0008420062949880958, 0.0005436401697807014, 0.000403999030822888, 0.0003915693087037653, 0.00037363803130574524, 0.0003097567823715508, 0.00019999399955850095, 0.00017106393352150917, 0.0001271239307243377]"
chair9-keyboard2,2024-02-08 11:10:06,"['M', 'A', 'B', 'D', 'C', 'P', 'G', 'N', 'L', 'J', 'K', 'E', 'H', 'The', 'F', 'W']","[0.992927610874176, 0.0033119353465735912, 0.001257068826816976, 0.000979006290435791, 0.0004846432711929083, 0.0003279260126873851, 8.689174865139648e-05, 8.421836537308991e-05, 7.203579298220575e-05, 6.457246490754187e-05, 5.4375464969780296e-05, 4.30145300924778e-05, 3.916518107871525e-05, 2.777227018668782e-05, 2.5685152650112286e-05, 2.5685152650112286e-05]"
bottle10-bear2,2024-02-08 11:10:06,"['F', 'B', 'D', 'A', 'C', 'E', 'P', 'G', 'H', 'M', 'N', 'J', 'L', 'I', 'K', 'O']","[0.9905120730400085, 0.0043090698309242725, 0.001824574894271791, 0.0016874561551958323, 0.001124087953940034, 0.0001806573709473014, 7.530920265708119e-05, 5.7741566706681624e-05, 5.509738912223838e-05, 2.332970325369388e-05, 1.7068376109818928e-05, 1.4829260180704296e-05, 1.3714824490307365e-05, 1.1020170859410428e-05, 1.0681115782062989e-05, 8.717673154023942e-06]"
